Subject,Chapter ,No,Type,Question ,Option A,Option B,Option C,Option D,Correct Answer
Myanmar ,1,22,MCQ,အသံနိမ့်အမြင့်နှင့် ဝါကျနိမ့်မြင့်သံများသည် ထိရောက်ရောက်စကားပြောဆိုရာတွင် အရေးပါသည့် သဘောတရားများအနက်မှ ----------- ဖြစ်သည်။,၃ခု,၄ခု,၂ခု,,C
Myanmar ,1,23,MCQ,အသံနိမ့်အမြင့်သည် ----------- ဆိုင်ရာ သဘောတရားတစ်ခုဖြစ်သည်။,စကားသံ,အသံ,အပြော,,A
Myanmar ,1,24,MCQ,စကားသံတစ်ခုချင်းစီ၏ ပုံမှန်နိမ့်မြင့်သံသည် လှုပ်ရှားနေသော ----------- ၏ တုန်ခါမှုကြိမ်နှုန်းအပေါ်တွင် မူတည်နေပါသည်။,နှလုံး,အသံကြိုး,သွေးကြော,,B
Myanmar ,1,25,MCQ,အမျိုးသားများတွင် အမျိုးသမီးများနှင့် ကလေးများထက် ပို၍ရှည်လျားသော ----------- ရှိပါသည်။,အသံကြိုး,လည်ချောင်း,လက်ချောင်း,,A
Myanmar ,1,26,MCQ,အမျိုးသားများ၏ နိမ့်မြင့်သံသည် အမျိုးသမီးများ၊ ကလေးများထက် ယေဘုယျအားဖြင့် ----------- သောကြောင့် ပို၍လေးနက်ကြောင်းတွေ့ရသည်။,ပိုမိုနိမ့်မြင့်,ပိုမိုနိမ့်ကျ,ပိုမိုမြင့်,,B
Myanmar ,1,27,MCQ,ပျမ်းမျှနိမ့်မြင့်သံ (သို့မဟုတ်) ပုံမှန်နိမ့်မြင့်သံအပ လူတိုင်းတွင် သတ်မှတ်ထားသော ----------- အဆင့်စဉ် တစ်ခုရှိသည်။,နိမ့်သံ,မြင့်သံ,နိမ့်မြင့်သံ,,C
Myanmar ,1,28,MCQ,လူတိုင်းတွင် သတ်မှတ်ထားသော စိတ်တိုင်းကျအသုံးပြုနိုင်သည့် နိမ့်မြင့်သံအဆင့်စဉ် ----------- စီ ရှိသည်။,နှစ်ခု,သုံးခု,တစ်ခု,,C
Myanmar ,1,29,MCQ,စကားပြောသူများသည် အဆိုတော်များကဲ့သို့ ထိရောက်ရောက် စကားပြောဆိုနိုင်ရန် ----------- များကို ထိန်းညှိသည့် လေ့ကျင့်ခန်းများပြုလုပ်ကြရမည်။,အသံကြိုး,အသံ,စကားသံ,,A
Myanmar ,1,30,MCQ,အမျိုးသားများတွင် အခြားသူများထက် ပိုရှည်လျားသော ----------- ပါဝင်သည်။,ခြေထောက်,လက်,အသံကြိုး,,C
Myanmar ,2,1,TRUE_FALSE,ညောင်ရမ်းကြီးသမီးစကားပြေသည် ပုဂံခေတ်ဦးတွင် ရေးထိုးခဲ့သော ကျောက်စာဖြစ်သည်။,မှန်,မှား,,,B
Myanmar ,2,2,TRUE_FALSE,ညောင်ရမ်းကြီးသမီးကျောက်စာရေးထိုးသူ အလှူရှင်မှာ နရပတိစည်သူမင်း၏ သားတော် ကန့်သူ၏ဇနီးဖြစ်သည်။,မှန်,မှား,,,A
Myanmar ,2,3,TRUE_FALSE,ညောင်ရမ်းကြီးသမီး၏ ဖခင်အမည်မှာ ညောင်ရမ်းကြီးဖြစ်သည်။,မှန်,မှား,,,A
Myanmar ,2,4,TRUE_FALSE,ညောင်ရမ်းကြီးသမီးသည် မြန်မာသက္ကရာဇ် ၆၀၄ ခုနှစ်တွင် အလှူပြုခဲ့သည်။,မှန်,မှား,,,A
Myanmar ,2,5,TRUE_FALSE,ညောင်ရမ်းကြီးသမီးသည် နရပတိစည်သူမင်းကို အမျှဝေခဲ့သည်။,မှန်,မှား,,,B
Myanmar ,2,6,TRUE_FALSE,ပေါ်နွေလလျှင် ကဗျာသည် ကုန်းဘောင်ခေတ်စာဆို နတ်ရှင်နောင်စပ်ဆိုခဲ့သော ရတုကဗျာတစ်ပုဒ်ဖြစ်သည်။,မှန်,မှား,,,B
Myanmar ,2,7,TRUE_FALSE,နတ်ရှင်နောင်သည် ဟံသာဝတီဆင်ဖြူများရှင်မင်းတရားကြီး၏ မြေးတော်ဖြစ်သည်။,မှန်,မှား,,,A
Myanmar ,2,8,TRUE_FALSE,တောင်ငူဘုရင် သီဟသူသည် ကေတုမတီရွှေနန်းတော်ကို သက္ကရာဇ် ၉၆၄ ခုနှစ်၊ နတ်တော်လတွင် တည်တော်မူသည်။,မှန်,မှား,,,B
Myanmar ,2,9,TRUE_FALSE,တောင်ငူဘုရင် သီဟသူသည် ကေတုမတီရွှေနန်းတော်ကို သက္ကရာဇ် ၉၆၄ ခုနှစ်၊ နတ်တော်လတွင် တည်တော်မူသည်။,မှန်,မှား,,,A
Myanmar ,2,10,TRUE_FALSE,တောင်ငူဘုရင် သီဟသူသည် သက္ကရာဇ် ၉၆၅ ခုနှစ် တန်းခူးလတွင် ရှင်မိဘုရားခေါင်ကြီးနှင့်အတူ နန်းတက်တော်မူသည်။,မှန်,မှား,,,A
Myanmar ,2,11,BLANK,ညောင်ရမ်းကြီးသမီးစကားပြေသည် ----------- တွင် ရေးထိုးခဲ့သော ကျောက်စာဖြစ်သည်။,,,,,ပုဂံခေတ်နှောင်း
Myanmar ,2,12,BLANK,ညောင်ရမ်းကြီးသမီးကျောက်စာရေးထိုးသူမှာ နရပတိစည်သူမင်း၏သားတော် ----------- ၏ဇနီး ညောင်ရမ်းကြီးသမီးဖြစ်သည်။,,,,,ကင်္ကသူ
Myanmar ,2,13,BLANK,ညောင်ရမ်းကြီးသမီးကျောက်စာတွင် ----------- ၏ အမည်ကို ဖော်ပြထားခြင်းမရှိပေ။,,,,,အလှူရှင်
Myanmar ,2,14,BLANK,ညောင်ရမ်းကြီးသမီးသည် မြန်မာသက္ကရာဇ် ----------- ခုနှစ်တွင် ခင်ပွန်းကွယ်လွန်ပြီးနောက် အလှူပြုသည်။,,,,,၆၀၄၊
Myanmar ,2,15,BLANK,ညောင်ရမ်းကြီးသမီးသည် အလှူပြုရာတွင် အဖေ၊ အမေ၊ ----------- တို့ကို အမျှဝေသည်။,,,,,ခင်ပွန်း
Myanmar ,2,16,BLANK,ပေါ်နွေလလျှင် ကဗျာသည် တောင်ငူခေတ်စာဆို ----------- စပ်ဆိုခဲ့သော ရတုတစ်ပုဒ်ဖြစ်သည်။,,,,,နတ်ရှင်နောင်
Myanmar ,2,17,BLANK,နတ်ရှင်နောင်သည် ----------- ဆင်ဖြူများရှင်မင်းတရားကြီး၏ မြေးတော်ဖြစ်သည်။,,,,,ဟံသာဝတီ
Myanmar ,2,18,BLANK,တောင်ငူရွှေနန်းကို ----------- တော်မူသော မင်းရဲသီဟသူ၏ သားတော်ကြီးမှာ နတ်ရှင်နောင် ဖြစ်သည်။,,,,,သိမ်းမြန်းစိုးစံ
Myanmar ,2,19,BLANK,သက္ကရာဇ် ၉၆၄ ခုနှစ် နတ်တော်လတွင် တောင်ငူဘုရင် သီဟသူသည် ----------- ရွှေနန်းတော်ကို တည်တော်မူသည်။,,,,,ကေတုမတီ
Myanmar ,2,20,BLANK,တောင်ငူဘုရင် သီဟသူမှာ သက္ကရာဇ် ၉၆၅ ခုနှစ် တန်းခူးလသို့ရောက်သောအခါ ----------- ကြီးနှင့်အတူ နန်းတက်တော်မူသည်။,,,,,ရှင်မိဖုရားခေါင်
Myanmar ,2,21,MCQ,ညောင်ရမ်းကြီးသမီးစကားပြေသည် ----------- တွင် ရေးထိုးခဲ့သော ကျောက်စာဖြစ်သည်။,ပုဂံခေတ်နှောင်းပိုင်း,ပုဂံခေတ်ဦးပိုင်း,ပုဂံခေတ်လယ်,,A
Myanmar ,2,22,MCQ,ညောင်ရမ်းကြီးသမီးစကားပြေသည် ပုဂံခေတ် ----------- တွင် ရေးထိုးခဲ့သော ကျောက်စာဖြစ်သည်။,အလယ်,အစော,နှောင်းပိုင်း,,C
Myanmar ,2,23,MCQ,ညောင်ရမ်းကြီးသမီးစကားပြေသည် ----------- နှောင်းပိုင်းတွင် ရေးထိုးခဲ့သော ကျောက်စာဖြစ်သည်။,ပင်းယခေတ်,ကုန်းဘောင်ခေတ်,ပုဂံခေတ်,,C
Myanmar ,2,24,MCQ,ညောင်ရမ်းကြီးသမီးစကားပြေကို မြန်မာသက္ကရာဇ် ----------- တွင် အလှူမှတ်တမ်းတင်ခဲ့ခြင်းဖြစ်သည်။,၅၀၄ ခုနှစ်,၆၀၄ ခုနှစ်,၈၀၄ ခုနှစ်,,B
Myanmar ,2,25,MCQ,ညောင်ရမ်းကြီးသမီးသည် အလှူပစ္စည်းများကို လှူဒါန်းရာတွင် ----------- ခွဲ၍ လှူဒါန်းခဲ့သည်။,၄မျိုး,၃မျိုး,၂မျိုး,,C
Myanmar ,2,26,MCQ,ပေါ်နွေလလျှင်ကဗျာသည် တောင်ငူခေတ်တွင် ----------- က စပ်ဆိုခဲ့သော ကဗျာတစ်ပုဒ်ဖြစ်သည်။,နတ်ရှင်နောင်,ရှင်ထွေးနာသိန်,မဟာပညာကျော်,,A
Myanmar ,2,27,MCQ,နတ်ရှင်နောင်သည် ပေါ်နွေလလျှင်ကဗျာကို ----------- ခေတ်တွင် စပ်ဆိုခဲ့သည်။,ညောင်ရမ်းခေတ်,တောင်ငူခေတ်,အင်းဝခေတ်,,B
Myanmar ,2,28,MCQ,ပေါ်နွေလလျှင် ကဗျာသည် ----------- ကဗျာအမျိုးအစားဖြစ်သည်။,မော်ကွန်း,ရတု,လေးချိုး,,B
Myanmar ,2,29,MCQ,နတ်ရှင်နောင်သည် ----------- မင်းတရားကြီး၏ မြေးတော်ဖြစ်သည်။,ဆင်ဖြူများရှင်,ဟံသာဝတီဆင်ဖြူများရှင်,အနောက်ဘက်လွန်,,B
Myanmar ,2,30,MCQ,နတ်ရှင်နောင်သည် သက္ကရာဇ် ----------- တွင် မဖခင်၏အရိုက်အရာဖြစ်တော်မူသော ရွှေထီးရွှေနန်းကို သိမ်းမြန်းစိုးစံတော်မူသည်။,၉၇၁ ခုနှစ်,၉၇၂ ခုနှစ်,၉၇၃ ခုနှစ်,,A
Myanmar ,3,1,TRUE_FALSE,စာရေးရာတွင် ရေးရမည့်အကြောင်း ခိုင်လုံစွာရှိမှသာ သရုပ်ပေါ်အောင် လိုရင်းရောက်အောင် ရေးသားနိုင်ပေမည်။,မှန်,မှား,,,A
Myanmar ,3,2,TRUE_FALSE,စာရေးခြင်းအတတ်ပညာသည် စာရေးရန်အကြောင်းမျိုးစုံကို စုဆောင်းတတ်သောပညာထက် ပို၍ နက်နဲသည်။,မှန်,မှား,,,B
Myanmar ,3,3,TRUE_FALSE,စာရေးသူသည် များပြားလှသော အကြောင်းအရာများထဲမှ သူရေးရမည့်အကြောင်းအရာကို သူ့စေတနာက ရွေးချယ်ပေးသည်။,မှန်,မှား,,,A
Myanmar ,3,4,TRUE_FALSE,စာရေးသူ၏ စာမရေးခင်ကရှိနေသော စိတ်အတွေး၊ အကြုံကို စေတနာက လှုံ့ဆော်ပေးသဖြင့် ကလောင်စွမ်းရည်သည် စေတနာလွှတ်ရာသို့ ပျံသန်းနိုင်သည်။,မှန်,မှား,,,A
Myanmar ,3,5,TRUE_FALSE,စာရေးသူ၏ စိတ်ထဲတွင် ခိုအောင်းနေသော အတွေ့အကြုံကို သူ့စေတနာက ရွေးချယ်ပေး၍ စာရေးရာ အကြောင်းအဖြစ် ပေါ်လာရသည်။,မှန်,မှား,,,A
Myanmar ,3,6,TRUE_FALSE,စာရေးသားရန်အကြောင်းအရာ၏အရေးပါမှုနှင့်ပတ်သက်၍ ဦးဉာဏ်က ပြောဖူးသည်။,မှန်,မှား,,,A
Myanmar ,3,7,TRUE_FALSE,စာရေးသူတစ်ဦးအဖို့ ရေးစရာအကြောင်းအရာတစ်ခုပဲ ဖြစ်နိုင်ပါသည်။,မှန်,မှား,,,B
Myanmar ,3,8,TRUE_FALSE,စာရေးသူတစ်ဦးအဖို့ ရေးစရာအကြောင်းအရာအမျိုးမျိုး ဖြစ်နိုင်သည်။,မှန်,မှား,,,A
Myanmar ,3,9,TRUE_FALSE,စာရေးသူသည် အကြောင်းအရာအမျိုးမျိုးထဲမှ အကြောင်းအရာတစ်ခုခုကို ရွေးချယ်ရမြဲဖြစ်သည်။,မှန်,မှား,,,A
Myanmar ,3,10,TRUE_FALSE,စာရေးဆရာသည် စာရေးရန် သူ၏သနားအား တိုက်တွန်းလှုံ့ဆော်ပေးသော အကြောင်းအရာဖြစ်ပါလိမ့်မည်။,မှန်,မှား,,,B
Myanmar ,3,11,BLANK,စာရေးရာတွင် အကြောင်းအရာ၏ အရေးပါမှုနှင့်ပတ်သက်၍ ဦးဉာဏ်က ရေးရမည့်အကြောင်း ခိုင်လုံစွာရှိမှသာ ထိုအကြောင်းကို မိမိနိုင်နင်းသော ရေးနည်းဖြင့်ရေး၍ သရုပ်ပေါ်အောင် ----------- အောင် ဖော်ထုတ်ရေးသားနိုင်သည်ဟု ဆိုပါသည်။,,,,,လိုရင်းရောက်
Myanmar ,3,12,BLANK,စာရေးတတ်ခြင်းပညာထက် စာရေးရန်အကြောင်းမျိုးစုံကို ----------- အောင် စုဆောင်းတတ်သော ပညာက ပိုမိုနက်နဲလှသည်။,,,,,ကုံလုံကြွယ်ဝ
Myanmar ,3,13,BLANK,စာရေးသူတစ်ဦးအဖို့ ရေးစရာအကြောင်းအရာသည် ----------- ဖြစ်နိုင်ပါသည်။,,,,,အမျိုးမျိုး
Myanmar ,3,14,BLANK,စာရေးသူသည် များပြားလှသော အကြောင်းအရာအမျိုးမျိုးထဲမှ ----------- တစ်ခုခုကို ရွေးချယ်ရမြဲ ဖြစ်ပါသည်။,,,,,အကြောင်းအရာ
Myanmar ,3,15,BLANK,စာရေးသူရွေးချယ်မည့် အကြောင်းအရာကို ----------- က ရွေးချယ်ပေးသည်ဟု ဆိုနိုင်သည်။,,,,,စေတနာ
Myanmar ,3,16,BLANK,စာရေးသူတစ်ဦးအနေနှင့် စာရေးစရာအကြောင်းအရာရရှိသည့်အချိန်မှစ၍ ရေးချလိုက်သည့်အချိန်ထိ လှုပ်ရှားရသောဖြစ်စဉ်များကို ----------- က တင်ပြထားပါသည်။,,,,,ဆရာဇော်ဂျီ
Myanmar ,3,17,BLANK,စာရေးလိုသော အကြောင်းအရာနှင့်စပ်လျဉ်း၍ စာရေးသူတွင် မြင်မှု၊ ကြားမှု၊ ခံစားမှု၊ သိမှု စသော ----------- တို့ ရှိရမည်ဖြစ်သည်။,,,,,ကိုယ်နှုတ်နှလုံး
Myanmar ,3,18,BLANK,စာရေးသူ၏ စိတ်တွင် မြင်မှု၊ ကြားမှုတို့ကို မှီ၍ ----------- သည် ပေါ်လာရမြဲဖြစ်သည်။,,,,,ခံစားမှု
Myanmar ,3,19,BLANK,ခံစားမှုအဆင့်လည်း စာရေးဆရာ၏ စေတနာကိုလိုက်၍ ဆန်းရဲသော ----------- ခံစားမှုတို့သည် ပေါ်လာရမြဲ ဖြစ်သည်။,,,,,ချမ်းသာသော
Myanmar ,3,20,BLANK,ခံစားမှုအသိ (ဝါ) ဘဝအသိသည် စာရေးဆရာ၏ စာမရေးသေးခင် ရှိအပ်သော စိတ် ----------- ဖြစ်သည်။,,,,,အတွေ့အကြုံ
Myanmar ,3,21,MCQ,စာရေးတတ်ခြင်းပညာထက် စာရေးရန်အကြောင်းမျိုးစုံကို စုဆောင်းတတ်သောပညာက ပိုမို... သာလွန်သည်။,လွယ်ကူ,ခဲယဉ်း,သက်သာ,,
Myanmar ,3,22,MCQ,စာရေးသူအဖို့ ရေးစရာအကြောင်းအရာသည် ... ဖြစ်နိုင်သည်။,အမျိုးမျိုး,တစ်မျိုး,နှစ်မျိုး,,
Myanmar ,3,23,MCQ,စာရေးသူသည် များပြားလှသော အကြောင်းအရာထဲမှ သူ့စေတနာက ရေးရမည့်အကြောင်းအရာကို ... ပေးသည်။,ဖယ်ထုတ်,နှိုင်းယှဉ်,ရွေးချယ်,,
Myanmar ,3,24,MCQ,စာရေးသူတွင် စာရေးလိုမှုသည် မြင်မှု၊ ကြားမှု၊ ... ၊ သိမှုတို့ပေါ်မူတည်၍ ပေါ်လာရမြဲဖြစ်သည်။,အထိအတွေ့,ခံစားမှု,လှုပ်ရှားမှူ,,
Myanmar ,3,25,MCQ,စာရေးဆရာ၏ စာမရေးခင်ရှိသော စိတ်အတွေးအကြုံကို ... ကလှုံ့ဆော်ပေးသဖြင့် ကလောင်စွမ်းရည် ပေါ်လာရသည်။,စေတနာ,ကရုဏာ,မုဒိတာ,,
Myanmar ,3,26,MCQ,,,,,,
Myanmar ,3,27,MCQ,,,,,,
Myanmar ,3,28,MCQ,,,,,,
Myanmar ,3,29,MCQ,,,,,,
Myanmar ,3,30,MCQ,,,,,,
